File_ID,Group_ID,Razvan,Boris,Joost,Jan
img_0393.png,4,1,0,1,1
img_0394.png,4,1,2,2,1
img_0395.png,4,1,0,0,1
img_0396.png,4,0,0,0,0
img_0397.png,4,1,1,1,1
img_0398.png,4,1,1,1,1
img_0399.png,4,1,2,1,1
img_0400.png,4,1,0,0,1
img_0401.png,4,1,2,1,2
img_0402.png,4,1,1,1,1
img_0403.png,4,0,0,0,1
img_0404.png,4,1,0,1,1
img_0405.png,4,1,2,1,1
img_0406.png,4,1,2,1,1
img_0407.png,4,1,2,2,1
img_0408.png,4,0,0,0,1
img_0409.png,4,1,1,1,1
img_0410.png,4,1,2,2,1
img_0411.png,4,0,0,0,0
img_0412.png,4,0,0,0,0
img_0413.png,4,0,0,0,1
img_0414.png,4,2,2,2,2
img_0415.png,4,1,1,1,1
img_0416.png,4,0,0,0,0
img_0417.png,4,0,0,0,1
img_0418.png,4,0,0,0,1
img_0419.png,4,0,0,0,0
img_0420.png,4,0,0,0,0
img_0421.png,4,0,0,0,0
img_0422.png,4,0,0,0,0
img_0423.png,4,1,2,2,1
img_0424.png,4,0,0,0,0
img_0425.png,4,0,0,0,0
img_0426.png,4,1,0,0,1
img_0427.png,4,0,0,0,0
img_0428.png,4,1,2,2,1
img_0429.png,4,0,0,0,0
img_0430.png,4,1,1,0,1
img_0431.png,4,2,2,2,2
img_0432.png,4,1,2,2,1
img_0433.png,4,1,0,0,1
img_0434.png,4,2,2,2,2
img_0435.png,4,0,0,0,0
img_0436.png,4,0,0,0,0
img_0437.png,4,1,2,2,2
img_0438.png,4,1,1,1,1
img_0439.png,4,1,2,1,1
img_0440.png,4,1,2,0,1
img_0441.png,4,0,0,0,0
img_0442.png,4,1,0,1,1
img_0443.png,4,0,0,0,0
img_0444.png,4,1,2,1,1
img_0445.png,4,1,1,1,1
img_0446.png,4,0,0,0,0
img_0447.png,4,1,1,1,1
img_0448.png,4,0,0,0,0
img_0449.png,4,0,0,0,0
img_0450.png,4,0,0,0,1
img_0451.png,4,0,0,0,1
img_0452.png,4,1,0,0,1
img_0453.png,4,1,0,1,1
img_0454.png,4,0,0,0,0
img_0455.png,4,0,0,0,1
img_0456.png,4,2,2,2,1
img_0457.png,4,0,0,0,1
img_0458.png,4,1,0,1,1
img_0459.png,4,0,0,0,1
img_0460.png,4,1,0,0,1
img_0461.png,4,0,0,0,1
img_0462.png,4,0,0,1,1
img_0463.png,4,0,0,0,0
img_0464.png,4,1,2,2,1
img_0465.png,4,0,0,0,0
img_0466.png,4,0,0,0,0
img_0467.png,4,1,2,1,1
img_0468.png,4,1,1,1,1
img_0469.png,4,0,0,0,0
img_0470.png,4,0,0,0,1
img_0471.png,4,1,2,2,1
img_0472.png,4,0,0,0,1
img_0473.png,4,1,2,2,1
img_0474.png,4,1,0,0,1
img_0475.png,4,0,0,0,1
img_0476.png,4,1,1,1,1
img_0477.png,4,1,0,1,1
img_0478.png,4,0,0,0,1
img_0479.png,4,1,1,1,1
img_0480.png,4,1,0,1,1
img_0481.png,4,1,2,1,1
img_0482.png,4,0,0,0,0
img_0483.png,4,1,1,2,1
img_0484.png,4,0,0,0,0
img_0485.png,4,1,1,1,1
img_0486.png,4,1,0,1,1
img_0487.png,4,1,2,2,1
img_0488.png,4,0,0,0,0
img_0489.png,4,0,0,0,0
img_0490.png,4,0,0,0,0
img_0491.png,4,0,0,0,1
img_0492.png,4,0,0,0,0
img_0493.png,4,1,0,1,1
img_0494.png,4,1,2,1,1
img_0495.png,4,0,0,0,0
img_0496.png,4,1,1,1,1
img_0497.png,4,2,2,2,1
img_0498.png,4,1,2,2,1
img_0499.png,4,1,2,2,1
img_0500.png,4,1,2,2,1
img_0501.png,4,0,0,0,1
img_0502.png,4,0,0,0,0
img_0503.png,4,0,0,0,1
img_0504.png,4,1,0,1,1
img_0505.png,4,1,2,2,1
img_0506.png,4,1,1,1,1
img_0507.png,4,2,2,2,1
img_0508.png,4,0,0,0,0
img_0509.png,4,1,2,1,1
img_0510.png,4,2,2,2,2
img_0511.png,4,1,0,1,1
img_0512.png,4,0,0,0,1
img_0513.png,4,0,0,0,1
img_0514.png,4,0,0,0,1
img_0515.png,4,1,0,0,1
img_0516.png,4,0,0,0,1
img_0517.png,4,1,0,0,1
img_0518.png,4,1,1,1,1
img_0519.png,4,1,2,2,1
img_0520.png,4,1,2,2,1
img_0521.png,4,1,1,1,1
img_0522.png,4,0,0,0,1
img_0523.png,4,0,0,0,0
img_0524.png,4,1,1,1,1
img_0525.png,4,1,1,1,1
img_0526.png,4,0,0,1,1
img_0527.png,4,2,2,2,1
img_0528.png,4,0,0,0,0
img_0529.png,4,1,0,1,1
img_0530.png,4,0,0,0,0
img_0531.png,4,1,2,2,1
img_0532.png,4,1,2,2,1
img_0533.png,4,1,2,2,1
img_0534.png,4,0,0,0,0
img_0535.png,4,1,2,2,1
img_0536.png,4,1,1,1,1
img_0537.png,4,1,2,2,1
img_0538.png,4,0,0,0,1
img_0539.png,4,0,0,0,0
img_0540.png,4,1,0,0,1
img_0541.png,4,0,0,0,1
img_0542.png,4,0,0,0,0
img_0543.png,4,1,2,1,1
img_0544.png,4,0,0,0,1
img_0545.png,4,0,0,0,0
img_0546.png,4,1,1,1,1
img_0547.png,4,0,0,1,1
img_0548.png,4,1,1,0,1
img_0549.png,4,1,2,2,1
img_0550.png,4,1,1,2,1
img_0551.png,4,0,0,0,0
img_0552.png,4,0,0,0,1
img_0553.png,4,1,0,0,1
img_0554.png,4,0,0,0,0
img_0555.png,4,2,2,1,2
img_0556.png,4,0,0,0,1
img_0557.png,4,0,0,0,0
img_0558.png,4,1,1,0,1
img_0559.png,4,0,0,0,1
img_0560.png,4,1,1,1,1
img_0561.png,4,1,1,0,1
img_0562.png,4,1,2,2,1
img_0563.png,4,0,0,0,0
img_0564.png,4,1,2,1,1
img_0565.png,4,0,0,0,1
img_0566.png,4,1,1,1,1
img_0567.png,4,2,2,2,1
img_0568.png,4,2,2,2,1
img_0569.png,4,0,0,0,0
img_0570.png,4,1,2,2,1
img_0571.png,4,1,2,2,1
img_0572.png,4,0,0,0,0
img_0573.png,4,2,2,2,2
img_0574.png,4,1,1,2,1
img_0575.png,4,1,2,1,1
img_0576.png,4,0,0,0,0
img_0577.png,4,0,0,0,0
img_0578.png,4,0,0,0,1
img_0579.png,4,0,0,0,0
img_0580.png,4,1,0,0,1
img_0581.png,4,1,0,0,1
img_0582.png,4,0,0,0,1
img_0583.png,4,1,1,1,1
img_0584.png,4,1,2,2,1
img_0585.png,4,0,0,0,0
img_0586.png,4,2,2,2,2
img_0587.png,4,1,2,1,1
img_0588.png,4,0,0,0,1
img_0589.png,4,1,1,1,1
img_0590.png,4,0,0,0,1
img_0591.png,4,1,1,1,1
img_0592.png,4,1,2,1,1
